id symbol chr strand nprots ntrans SV WT WT_prots SV_prots min_skipped_exon max_skipped_exon min_skipped_bases max_skipped_bases
2228 ENSG00000155657.25 TTN chr2 - 13 14 178642318:178738082 178642318:178644548|178644617:178645920|178646031:178649817|178649895:178650164|178650272:178650751|178650835:178651243|178651321:178651453|178651537:178651666|178651750:178651884|178651968:178652096|178652180:178652264|178652348:178652458|178652542:178654745|178654829:178654912|178654996:178658705|178658795:178670218|178670296:178671090|178671171:178671971|178672268:178672407|178672482:178672635|178672704:178673633|178673711:178674314|178674410:178675039|178675114:178675921|178675996:178677621|178677918:178678125|178678209:178678414|178678498:178678747|178678831:178679339|178679417:178679599|178679683:178679894|178680056:178680254|178680332:178681079|178681172:178681376|178681451:178681661|178681739:178682697|178682904:178683211|178683292:178683999|178684083:178684330|178684414:178684666|178684750:178684906|178684990:178685253|178685331:178685518|178685599:178688111|178688225:178688677|178688779:178689053|178689137:178689290|178689374:178689515|178689596:178689813|178689897:178692016|178692100:178692497|178692581:178693609|178693690:178693922|178694009:178694599|178694677:178694829|178694907:178695348|178695411:178695865|178696270:178697121|178697169:178698843|178698915:178701120|178701204:178701528|178701588:178702040|178702067:178702168|178702246:178702454|178702664:178704147|178704408:178704510|178704778:178704877|178704967:178705174|178705358:178706454|178706740:178706862|178706955:178707526|178707814:178709566|178709857:178710635|178710923:178711062|178711350:178711944|178712223:178712315|178712594:178712697|178712976:178713085|178713373:178713897|178714176:178714292|178714574:178714986|178715265:178715493|178715775:178717095|178717383:178717523|178717811:178717943|178718222:178718322|178718601:178718695|178718974:178719164|178719452:178719554|178719833:178719983|178720265:178720385|178720664:178720921|178721203:178721847|178722135:178722259|178722547:178722659|178722938:178723046|178723325:178723418|178723697:178723856|178724144:178724260|178724539:178725368|178725650:178725768|178726047:178727090|178727372:178727585|178727864:178728110|178728398:178728500|178728779:178728891|178729170:178729288|178729567:178729664|178729946:178730093|178730372:178730505|178730793:178730925|178731204:178731305|178731584:178731693|178731972:178732066|178732348:178732440|178732719:178732834|178733122:178733239|178733518:178733614|178733893:178734328|178734607:178734707|178734989:178735511|178736075:178738082|178646031:178646485|178646560:178647064|178647145:178647381|178647465:178649248|178649332:178649554|178649632:178649817|178652542:178652653|178652737:178652848|178652932:178653041|178653125:178653238|178653322:178653427|178653508:178653621|178653702:178653817|178653898:178654012|178654096:178654208|178654292:178654445|178654535:178654745|178654996:178657498|178657582:178657687|178657768:178657881|178657962:178658077|178658158:178658272|178658356:178658468|178658552:178658705|178658795:178659005|178659089:178659172|178659256:178661759|178661843:178661948|178662029:178662142|178662223:178662338|178662419:178662533|178662617:178662729|178662813:178662966|178663056:178663266|178663350:178663433|178663517:178663627|178663711:178663819|178663903:178664015|178664099:178664460|178664538:178664654|178664738:178664852|178664927:178665377|178665461:178665708|178665792:178666824|178666902:178667236|178667320:178667442|178667526:178667638|178667722:178669373|178669448:178669592|178669676:178670218|178675114:178675671|178675755:178675921|178675996:178677201|178677288:178677621|178652542:178659005|178659256:178662966|178663056:178670218 ENSP00000465570.1|ENSP00000467141.1|ENSP00000343764.6 ENSP00000434586.1 121 169 22134 26106
34287 ENSG00000155657 TTN 2 - 14 14 179507045:179602809 179507045:179509275|179509344:179510647|179510758:179511212|179511287:179511791|179511872:179512108|179512192:179513975|179514059:179514281|179514359:179514544|179514622:179514891|179514999:179515478|179515562:179515970|179516048:179516180|179516264:179516393|179516477:179516611|179516695:179516823|179516907:179516991|179517075:179517185|179517269:179517380|179517464:179517575|179517659:179517768|179517852:179517965|179518049:179518154|179518235:179518348|179518429:179518544|179518625:179518739|179518823:179518935|179519019:179519172|179519262:179519472|179519556:179519639|179519723:179522225|179522309:179522414|179522495:179522608|179522689:179522804|179522885:179522999|179523083:179523195|179523279:179523432|179523522:179523732|179523816:179523899|179523983:179526486|179526570:179526675|179526756:179526869|179526950:179527065|179527146:179527260|179527344:179527456|179527540:179527693|179527783:179527993|179528077:179528160|179528244:179528354|179528438:179528546|179528630:179528742|179528826:179529187|179529265:179529381|179529465:179529579|179529654:179530104|179530188:179530435|179530519:179531551|179531629:179531963|179532047:179532169|179532253:179532365|179532449:179534100|179534175:179534319|179534403:179534945|179535023:179535817|179535898:179536698|179536995:179537134|179537209:179537362|179537431:179538360|179538438:179539041|179539137:179539766|179539841:179540398|179540482:179540648|179540723:179541928|179542015:179542348|179542645:179542852|179542936:179543141|179543225:179543474|179543558:179544066|179544144:179544326|179544410:179544621|179544783:179544981|179545059:179545806|179545899:179546103|179546178:179546388|179546466:179547424|179547631:179547938|179548019:179548726|179548810:179549057|179549141:179549393|179549477:179549633|179549717:179549980|179550058:179550245|179550326:179552838|179552952:179553404|179553506:179553780|179553864:179554017|179554101:179554242|179554323:179554540|179554624:179556743|179556827:179557224|179557308:179558336|179558417:179558649|179558736:179559326|179559404:179559556|179559634:179560075|179560138:179560592|179560997:179561848|179561896:179563570|179563642:179565847|179565931:179566255|179566315:179566767|179566794:179566895|179566973:179567181|179567391:179568874|179569135:179569237|179569505:179569604|179569694:179569901|179570085:179571181|179571467:179571589|179571682:179572253|179572541:179574293|179574584:179575362|179575650:179575789|179576077:179576671|179576950:179577042|179577321:179577424|179577703:179577812|179578100:179578624|179578903:179579019|179579301:179579713|179579992:179580220|179580502:179581822|179582110:179582250|179582538:179582670|179582949:179583049|179583328:179583422|179583701:179583891|179584179:179584281|179584560:179584710|179584992:179585112|179585391:179585648|179585930:179586574|179586862:179586986|179587274:179587386|179587665:179587773|179588052:179588145|179588424:179588583|179588871:179588987|179589266:179590095|179590377:179590495|179590774:179591817|179592099:179592312|179592591:179592837|179593125:179593227|179593506:179593618|179593897:179594015|179594294:179594391|179594673:179594820|179595099:179595232|179595520:179595652|179595931:179596032|179596311:179596420|179596699:179596793|179597075:179597167|179597446:179597561|179597849:179597966|179598245:179598341|179598620:179599055|179599334:179599434|179599716:179600238|179600802:179602809|179510758:179514544|179517269:179523732|179523983:179527693|179527783:179534945|179539841:179540648|179540723:179542348|179517269:179519472|179519723:179523432|179523522:179534945 ENSP00000467141|ENSP00000343764|ENSP00000465570 ENSP00000340554|ENSP00000434586|ENSP00000352154 121 169 22134 26106
51733 ENSG00000155657 TTN 2 - 13 14 178642318:178738082 178642318:178644548|178644617:178645920|178646031:178646485|178646560:178647064|178647145:178647381|178647465:178649248|178649332:178649554|178649632:178649817|178649895:178650164|178650272:178650751|178650835:178651243|178651321:178651453|178651537:178651666|178651750:178651884|178651968:178652096|178652180:178652264|178652348:178652458|178652542:178652653|178652737:178652848|178652932:178653041|178653125:178653238|178653322:178653427|178653508:178653621|178653702:178653817|178653898:178654012|178654096:178654208|178654292:178654445|178654535:178654745|178654829:178654912|178654996:178657498|178657582:178657687|178657768:178657881|178657962:178658077|178658158:178658272|178658356:178658468|178658552:178658705|178658795:178659005|178659089:178659172|178659256:178661759|178661843:178661948|178662029:178662142|178662223:178662338|178662419:178662533|178662617:178662729|178662813:178662966|178663056:178663266|178663350:178663433|178663517:178663627|178663711:178663819|178663903:178664015|178664099:178664460|178664538:178664654|178664738:178664852|178664927:178665377|178665461:178665708|178665792:178666824|178666902:178667236|178667320:178667442|178667526:178667638|178667722:178669373|178669448:178669592|178669676:178670218|178670296:178671090|178671171:178671971|178672268:178672407|178672482:178672635|178672704:178673633|178673711:178674314|178674410:178675039|178675114:178675671|178675755:178675921|178675996:178677201|178677288:178677621|178677918:178678125|178678209:178678414|178678498:178678747|178678831:178679339|178679417:178679599|178679683:178679894|178680056:178680254|178680332:178681079|178681172:178681376|178681451:178681661|178681739:178682697|178682904:178683211|178683292:178683999|178684083:178684330|178684414:178684666|178684750:178684906|178684990:178685253|178685331:178685518|178685599:178688111|178688225:178688677|178688779:178689053|178689137:178689290|178689374:178689515|178689596:178689813|178689897:178692016|178692100:178692497|178692581:178693609|178693690:178693922|178694009:178694599|178694677:178694829|178694907:178695348|178695411:178695865|178696270:178697121|178697169:178698843|178698915:178701120|178701204:178701528|178701588:178702040|178702067:178702168|178702246:178702454|178702664:178704147|178704408:178704510|178704778:178704877|178704967:178705174|178705358:178706454|178706740:178706862|178706955:178707526|178707814:178709566|178709857:178710635|178710923:178711062|178711350:178711944|178712223:178712315|178712594:178712697|178712976:178713085|178713373:178713897|178714176:178714292|178714574:178714986|178715265:178715493|178715775:178717095|178717383:178717523|178717811:178717943|178718222:178718322|178718601:178718695|178718974:178719164|178719452:178719554|178719833:178719983|178720265:178720385|178720664:178720921|178721203:178721847|178722135:178722259|178722547:178722659|178722938:178723046|178723325:178723418|178723697:178723856|178724144:178724260|178724539:178725368|178725650:178725768|178726047:178727090|178727372:178727585|178727864:178728110|178728398:178728500|178728779:178728891|178729170:178729288|178729567:178729664|178729946:178730093|178730372:178730505|178730793:178730925|178731204:178731305|178731584:178731693|178731972:178732066|178732348:178732440|178732719:178732834|178733122:178733239|178733518:178733614|178733893:178734328|178734607:178734707|178734989:178735511|178736075:178738082|178646031:178649817|178652542:178659005|178659256:178662966|178663056:178670218|178675114:178675921|178675996:178677621|178652542:178654745|178654996:178658705|178658795:178670218 ENSP00000467141|ENSP00000343764|ENSP00000465570 ENSP00000434586 121 169 22134 26106
67688 ENSG00000155657 TTN 2 - 16 17 178642318:178738082 178642318:178644548|178644617:178645920|178646031:178646485|178646560:178647064|178647145:178647381|178647465:178649248|178649332:178649554|178649632:178649817|178649895:178650164|178650272:178650751|178650835:178651243|178651321:178651453|178651537:178651666|178651750:178651884|178651968:178652096|178652180:178652264|178652348:178652458|178652542:178652653|178652737:178652848|178652932:178653041|178653125:178653238|178653322:178653427|178653508:178653621|178653702:178653817|178653898:178654012|178654096:178654208|178654292:178654445|178654535:178654745|178654829:178654912|178654996:178657498|178657582:178657687|178657768:178657881|178657962:178658077|178658158:178658272|178658356:178658468|178658552:178658705|178658795:178659005|178659089:178659172|178659256:178661759|178661843:178661948|178662029:178662142|178662223:178662338|178662419:178662533|178662617:178662729|178662813:178662966|178663056:178663266|178663350:178663433|178663517:178663627|178663711:178663819|178663903:178664015|178664099:178664460|178664538:178664654|178664738:178664852|178664927:178665377|178665461:178665708|178665792:178666824|178666902:178667236|178667320:178667442|178667526:178667638|178667722:178669373|178669448:178669592|178669676:178670218|178670296:178671090|178671171:178671971|178672268:178672407|178672482:178672635|178672704:178673633|178673711:178674314|178674410:178675039|178675114:178675671|178675755:178675921|178675996:178677201|178677288:178677621|178677918:178678125|178678209:178678414|178678498:178678747|178678831:178679339|178679417:178679599|178679683:178679894|178680056:178680254|178680332:178681079|178681172:178681376|178681451:178681661|178681739:178682697|178682904:178683211|178683292:178683999|178684083:178684330|178684414:178684666|178684750:178684906|178684990:178685253|178685331:178685518|178685599:178688111|178688225:178688677|178688779:178689053|178689137:178689290|178689374:178689515|178689596:178689813|178689897:178692016|178692100:178692497|178692581:178693609|178693690:178693922|178694009:178694599|178694677:178694829|178694907:178695348|178695411:178695865|178696270:178697121|178697169:178698843|178698915:178701120|178701204:178701528|178701588:178702040|178702067:178702168|178702246:178702454|178702664:178704147|178704408:178704510|178704778:178704877|178704967:178705174|178705358:178706454|178706740:178706862|178706955:178707526|178707814:178709566|178709857:178710635|178710923:178711062|178711350:178711944|178712223:178712315|178712594:178712697|178712976:178713085|178713373:178713897|178714176:178714292|178714574:178714986|178715265:178715493|178715775:178717095|178717383:178717523|178717811:178717943|178718222:178718322|178718601:178718695|178718974:178719164|178719452:178719554|178719833:178719983|178720265:178720385|178720664:178720921|178721203:178721847|178722135:178722259|178722547:178722659|178722938:178723046|178723325:178723418|178723697:178723856|178724144:178724260|178724539:178725368|178725650:178725768|178726047:178727090|178727372:178727585|178727864:178728110|178728398:178728500|178728779:178728891|178729170:178729288|178729567:178729664|178729946:178730093|178730372:178730505|178730793:178730925|178731204:178731305|178731584:178731693|178731972:178732066|178732348:178732440|178732719:178732834|178733122:178733239|178733518:178733614|178733893:178734328|178734607:178734707|178734989:178735511|178736075:178738082|178646031:178649817|178652542:178659005|178659256:178662966|178663056:178670218|178675114:178675921|178675996:178677621|178652542:178654745|178654996:178658705|178658795:178670218 ENSP00000467141|ENSP00000343764|ENSP00000465570|ENSP00000483597 ENSP00000340554|ENSP00000434586|ENSP00000352154 121 169 22134 26106
82199 ENSMUSG00000051747 Ttn 2 - 20 20 76818817:76906254 76818817:76821116|76821185:76822451|76822565:76826075|76826153:76826447|76826543:76826995|76827079:76827483|76827561:76827692|76827767:76827885|76827969:76828101|76828188:76828319|76828403:76828680|76828764:76828873|76828957:76832101|76832185:76832463|76832547:76832656|76832722:76839405|76839483:76840233|76840314:76841090|76841390:76841534|76841627:76841768|76841837:76842771|76842849:76843376|76843493:76844205|76844280:76845022|76845097:76846626|76846917:76847113|76847197:76847388|76847472:76847725|76847809:76848279|76848357:76848559|76848643:76848817|76849171:76849257|76849335:76849995|76850088:76850306|76850381:76850570|76850645:76851555|76851765:76852057|76852138:76852834|76852918:76853155|76853239:76853605|76853689:76853851|76853929:76854150|76854219:76854387|76854468:76856265|76856367:76856803|76856905:76857155|76857230:76857397|76857475:76857610|76857691:76857904|76857988:76859460|76859547:76859914|76859998:76861097|76861178:76861423|76861510:76862112|76862190:76862350|76862428:76862800|76862860:76863274|76863676:76864272|76864326:76865223|76865298:76867158|76867242:76867422|76867482:76867883|76867910:76868008|76868086:76868287|76868497:76870351|76870612:76870710|76870978:76871076|76871166:76871705|76871889:76872681|76872967:76873067|76873160:76873711|76873999:76875691|76875982:76876452|76876740:76876882|76877170:76877903|76878182:76878268|76878547:76878674|76878953:76879058|76879346:76879983|76880262:76880375|76880657:76881064|76881343:76881558|76881840:76883910|76884198:76884346|76884634:76884752|76885031:76885125|76885404:76885497|76885776:76885928|76886216:76886308|76886587:76886725|76887007:76887107|76887386:76887806|76888088:76888886|76889174:76889304|76889592:76889709|76889988:76890094|76890373:76890465|76890744:76890907|76891195:76891312|76891591:76892504|76892786:76892899|76893178:76894142|76894424:76894660|76894903:76895142|76895430:76895533|76895812:76895924|76896203:76896320|76896599:76896699|76896981:76897122|76897401:76897515|76897803:76898063|76898342:76898445|76898724:76898838|76899117:76899208|76899490:76899591|76899870:76899980|76900268:76900382|76900661:76900757|76901036:76901464|76901743:76901841|76902123:76903063|76903627:76906254|76828403:76828486|76828570:76828680|76828957:76829067|76829151:76829247|76829331:76829654|76829738:76829844|76829910:76830025|76830106:76830592|76830673:76830784|76830850:76832101|76832185:76832268|76832352:76832656|76832740:76833030|76833114:76833223|76833307:76833641|76833719:76838812|76838896:76839405|76841606:76841768|76849072:76849257|76864317:76865223|76894424:76894624|76822565:76822898|76822973:76823932|76824013:76824225|76824309:76825507|76825591:76825799|76825877:76826075|76830106:76830216|76830297:76830409|76830481:76830592|76830850:76830976|76831057:76831167|76831248:76831360|76831444:76831788|76831875:76832101|76832352:76832463|76832740:76832850|76832934:76833030|76833719:76833835|76833922:76834813|76834897:76835937|76836015:76836335|76836419:76836539|76836623:76836733|76836814:76838569|76838644:76838812|76845097:76846236|76846314:76846626 ENSMUSP00000107513|ENSMUSP00000116594|ENSMUSP00000097561|ENSMUSP00000107477 ENSMUSP00000011934 121 154 22251 24843
2243 ENSG00000283186.1 TTN chr2 - 3 3 178642318:178738082 178642318:178644548|178644617:178645920|178646031:178649817|178649895:178650164|178650272:178650751|178650835:178651243|178651321:178651453|178651537:178651666|178651750:178651884|178651968:178652096|178652180:178652264|178652348:178652458|178652542:178659005|178659089:178659172|178659256:178662966|178663056:178670218|178670296:178671090|178671171:178671971|178672268:178672407|178672482:178672635|178672704:178673633|178673711:178674314|178674410:178675039|178675114:178675921|178675996:178677621|178677918:178678125|178678209:178678414|178678498:178678747|178678831:178679339|178679417:178679599|178679683:178679894|178680056:178680254|178680332:178681079|178681172:178681376|178681451:178681661|178681739:178682697|178682904:178683211|178683292:178683999|178684083:178684330|178684414:178684666|178684750:178684906|178684990:178685253|178685331:178685518|178685599:178688111|178688225:178688677|178688779:178689053|178689137:178689290|178689374:178689515|178689596:178689813|178689897:178692016|178692100:178692497|178692581:178693609|178693690:178693922|178694009:178694599|178694677:178694829|178694907:178695348|178695411:178695865|178696270:178697121|178697169:178698843|178698915:178701120|178701204:178701528|178701588:178702040|178702067:178702168|178702246:178702454|178702664:178704147|178704408:178704510|178704778:178704877|178704967:178705174|178705358:178706454|178706740:178706862|178706955:178707526|178707814:178709566|178709857:178710635|178710923:178711062|178711350:178711944|178712223:178712315|178712594:178712697|178712976:178713085|178713373:178713897|178714176:178714292|178714574:178714986|178715265:178715493|178715775:178717095|178717383:178717523|178717811:178717943|178718222:178718322|178718601:178718695|178718974:178719164|178719452:178719554|178719833:178719983|178720265:178720385|178720664:178720921|178721203:178721847|178722135:178722259|178722547:178722659|178722938:178723046|178723325:178723418|178723697:178723856|178724144:178724260|178724539:178725368|178725650:178725768|178726047:178727090|178727372:178727585|178727864:178728110|178728398:178728500|178728779:178728891|178729170:178729288|178729567:178729664|178729946:178730093|178730372:178730505|178730793:178730925|178731204:178731305|178731584:178731693|178731972:178732066|178732348:178732440|178732719:178732834|178733122:178733239|178733518:178733614|178733893:178734328|178734607:178734707|178734989:178735511|178736075:178738082 ENSP00000483597.1 ENSP00000352154.5|ENSP00000340554.6 121 121 22134 22134
18458 ENSG00000155657 TTN 2 - 21 0 179507045:179602809 179507045:179509275|179509344:179510647|179510758:179514544|179514622:179514891|179514999:179515478|179515562:179515970|179516048:179516180|179516264:179516393|179516477:179516611|179516695:179516823|179516907:179516991|179517075:179517185|179517269:179523732|179523816:179523899|179523983:179527693|179527783:179534945|179535023:179535817|179535898:179536698|179536995:179537134|179537209:179537362|179537431:179538360|179538438:179539041|179539137:179539766|179539841:179540648|179540723:179542348|179542645:179542852|179542936:179543141|179543225:179543474|179543558:179544066|179544144:179544326|179544410:179544621|179544783:179544981|179545059:179545806|179545899:179546103|179546178:179546388|179546466:179547424|179547631:179547938|179548019:179548726|179548810:179549057|179549141:179549393|179549477:179549633|179549717:179549980|179550058:179550245|179550326:179552838|179552952:179553404|179553506:179553780|179553864:179554017|179554101:179554242|179554323:179554540|179554624:179556743|179556827:179557224|179557308:179558336|179558417:179558649|179558736:179559326|179559404:179559556|179559634:179560075|179560138:179560592|179560997:179561848|179561896:179563570|179563642:179565847|179565931:179566255|179566315:179566767|179566794:179566895|179566973:179567181|179567391:179568874|179569135:179569237|179569505:179569604|179569694:179569901|179570085:179571181|179571467:179571589|179571682:179572253|179572541:179574293|179574584:179575362|179575650:179575789|179576077:179576671|179576950:179577042|179577321:179577424|179577703:179577812|179578100:179578624|179578903:179579019|179579301:179579713|179579992:179580220|179580502:179581822|179582110:179582250|179582538:179582670|179582949:179583049|179583328:179583422|179583701:179583891|179584179:179584281|179584560:179584710|179584992:179585112|179585391:179585648|179585930:179586574|179586862:179586986|179587274:179587386|179587665:179587773|179588052:179588145|179588424:179588583|179588871:179588987|179589266:179590095|179590377:179590495|179590774:179591817|179592099:179592312|179592591:179592837|179593125:179593227|179593506:179593618|179593897:179594015|179594294:179594391|179594673:179594820|179595099:179595232|179595520:179595652|179595931:179596032|179596311:179596420|179596699:179596793|179597075:179597167|179597446:179597561|179597849:179597966|179598245:179598341|179598620:179599055|179599334:179599434|179599716:179600238|179600802:179602809 ENSP00000343764 ENSP00000340554|ENSP00000434586|ENSP00000348444|ENSP00000352154 121 121 22134 22134
51754 ENSG00000283186 TTN 2 - 3 3 178642318:178738082 178642318:178644548|178644617:178645920|178646031:178649817|178649895:178650164|178650272:178650751|178650835:178651243|178651321:178651453|178651537:178651666|178651750:178651884|178651968:178652096|178652180:178652264|178652348:178652458|178652542:178659005|178659089:178659172|178659256:178662966|178663056:178670218|178670296:178671090|178671171:178671971|178672268:178672407|178672482:178672635|178672704:178673633|178673711:178674314|178674410:178675039|178675114:178675921|178675996:178677621|178677918:178678125|178678209:178678414|178678498:178678747|178678831:178679339|178679417:178679599|178679683:178679894|178680056:178680254|178680332:178681079|178681172:178681376|178681451:178681661|178681739:178682697|178682904:178683211|178683292:178683999|178684083:178684330|178684414:178684666|178684750:178684906|178684990:178685253|178685331:178685518|178685599:178688111|178688225:178688677|178688779:178689053|178689137:178689290|178689374:178689515|178689596:178689813|178689897:178692016|178692100:178692497|178692581:178693609|178693690:178693922|178694009:178694599|178694677:178694829|178694907:178695348|178695411:178695865|178696270:178697121|178697169:178698843|178698915:178701120|178701204:178701528|178701588:178702040|178702067:178702168|178702246:178702454|178702664:178704147|178704408:178704510|178704778:178704877|178704967:178705174|178705358:178706454|178706740:178706862|178706955:178707526|178707814:178709566|178709857:178710635|178710923:178711062|178711350:178711944|178712223:178712315|178712594:178712697|178712976:178713085|178713373:178713897|178714176:178714292|178714574:178714986|178715265:178715493|178715775:178717095|178717383:178717523|178717811:178717943|178718222:178718322|178718601:178718695|178718974:178719164|178719452:178719554|178719833:178719983|178720265:178720385|178720664:178720921|178721203:178721847|178722135:178722259|178722547:178722659|178722938:178723046|178723325:178723418|178723697:178723856|178724144:178724260|178724539:178725368|178725650:178725768|178726047:178727090|178727372:178727585|178727864:178728110|178728398:178728500|178728779:178728891|178729170:178729288|178729567:178729664|178729946:178730093|178730372:178730505|178730793:178730925|178731204:178731305|178731584:178731693|178731972:178732066|178732348:178732440|178732719:178732834|178733122:178733239|178733518:178733614|178733893:178734328|178734607:178734707|178734989:178735511|178736075:178738082 ENSP00000483597 ENSP00000352154|ENSP00000340554 121 121 22134 22134
82200 ENSMUSG00000051747 Ttn 2 - 20 20 76818817:76857904 76818817:76831788|76831875:76847388|76847472:76847725|76847809:76857904|76818817:76847388|76847809:76854150|76854219:76854387|76854468:76856265|76856367:76857904|76818817:76826447|76826543:76826995|76827079:76831788|76847809:76850570|76850645:76851555|76851765:76852057|76852138:76854150|76818817:76821116|76821185:76822451|76822565:76826075|76826153:76826447|76827079:76827483|76827561:76827692|76827767:76827885|76827969:76828101|76828188:76828319|76828403:76828680|76828764:76828873|76828957:76832101|76832185:76832463|76832547:76832656|76832722:76839405|76839483:76840233|76840314:76841090|76841390:76841534|76841627:76841768|76841837:76842771|76842849:76843376|76843493:76844205|76844280:76845022|76845097:76846626|76846917:76847113|76847197:76847388|76847809:76848279|76848357:76848559|76848643:76848817|76849171:76849257|76849335:76849995|76850088:76850306|76850381:76850570|76852138:76852834|76852918:76853155|76853239:76853605|76853689:76853851|76853929:76854150|76856367:76856803|76856905:76857155|76857230:76857397|76857475:76857610|76857691:76857904|76828403:76828486|76828570:76828680|76828957:76829067|76829151:76829247|76829331:76829654|76829738:76829844|76829910:76830025|76830106:76830592|76830673:76830784|76830850:76832101|76832185:76832268|76832352:76832656|76832740:76833030|76833114:76833223|76833307:76833641|76833719:76838812|76838896:76839405|76841606:76841768|76849072:76849257|76822565:76822898|76822973:76823932|76824013:76824225|76824309:76825507|76825591:76825799|76825877:76826075|76830106:76830216|76830297:76830409|76830481:76830592|76830850:76830976|76831057:76831167|76831248:76831360|76831444:76831788|76831875:76832101|76832352:76832463|76832740:76832850|76832934:76833030|76833719:76833835|76833922:76834813|76834897:76835937|76836015:76836335|76836419:76836539|76836623:76836733|76836814:76838569|76838644:76838812|76845097:76846236|76846314:76846626|76854468:76857904 ENSMUSP00000115190|ENSMUSP00000118492|ENSMUSP00000118602|ENSMUSP00000107513|ENSMUSP00000116594|ENSMUSP00000097561|ENSMUSP00000121095|ENSMUSP00000107477 ENSMUSP00000123202 3 81 255 7371
793 ENSG00000271425.6 NBPF10 chr1 - 7 7 146066562:146122283 146066562:146067180|146067289:146068003|146068176:146068772|146068824:146069543|146069716:146070324|146070433:146071147|146071320:146071968|146072020:146072729|146072902:146073500|146073552:146074271|146074444:146075046|146075155:146075869|146076042:146076706|146076758:146077467|146077640:146078236|146078288:146079007|146079180:146079782|146079891:146080605|146080778:146081436|146081488:146082197|146082370:146082966|146083018:146083737|146083910:146084518|146084627:146085341|146085514:146086164|146086216:146086924|146087097:146087693|146087745:146088464|146088637:146089239|146089348:146090062|146090235:146090881|146090933:146091642|146091815:146092411|146092463:146093182|146093355:146093957|146094066:146094780|146094953:146095603|146095655:146096364|146096537:146097133|146097185:146097904|146098077:146098679|146098788:146099502|146099675:146100325|146100377:146101086|146101259:146101855|146101907:146102626|146102799:146103401|146103510:146104224|146104397:146105043|146105095:146105804|146105977:146106573|146106625:146107344|146107517:146108119|146108228:146108942|146109115:146109751|146109803:146110512|146110685:146111281|146111333:146112054|146112227:146112829|146112938:146113652|146113825:146114469|146114521:146115230|146115403:146115999|146116051:146116772|146116945:146117547|146117656:146118370|146118543:146119195|146119247:146119956|146120129:146120725|146120777:146121498|146121671:146122283 ENSP00000463957.6 ENSP00000482792.1 70 70 8559 8559
